|N°	|S1		|S2		|S3		|Tour		|Best		|PIT	|OUT	|

|44	|43.273	|46.288	|40.940	|130.501	|122.032	|1	|	|
|31	|49.831	|40.879	|49.852	|140.562	|122.531	|0	|	|
|16	|42.279	|43.161	|73.118	|158.558	|123.092	|2	|	|
|33	|47.500	|40.250	|46.110	|133.860	|123.599	|2	|	|
|14	|43.312	|41.086	|43.450	|127.848	|123.643	|3	|	|
|99	|41.262	|45.439	|42.661	|129.362	|124.124	|3	|	|
|6	|45.772	|47.509	|40.971	|134.252	|124.159	|2	|	|
|77	|46.707	|47.470	|43.218	|137.395	|124.340	|1	|	|
|5	|47.347	|44.372	|44.012	|135.731	|124.434	|1	|	|
|4	|46.919	|43.703	|48.136	|138.758	|124.569	|0	|	|
|22	|48.788	|40.128	|41.974	|130.890	|124.852	|0	|	|
|63	|45.465	|48.715	|44.864	|139.044	|125.035	|1	|	|
|47	|44.925	|46.350	|44.194	|135.469	|125.393	|1	|	|
|10	|43.422	|42.283	|49.728	|135.433	|125.599	|2	|	|
|3	|43.519	|40.512	|44.776	|128.807	|125.830	|1	|	|
|7	|46.530	|49.776	|47.454	|143.760	|125.952	|2	|	|
|55	|40.079	|42.987	|49.224	|132.290	|125.983	|1	|	|
|9	|44.145	|44.053	|48.108	|136.306	|126.625	|1	|	|
|18	|45.005	|42.308	|43.635	|130.948	|127.015	|0	|	|
|11	|NULL	|NULL	|NULL	|NULL		|136.722	|0	|X	|
Best lap is 122.032 
